claim_id,verification_result,mismatch_type,judge_reasoning
A021-01,확인불가,출처불명확,관세청 '1~20일 수출입 현황'은 월 2회 발표되는 잠정치로 KOSIS에 정식 등재되지 않아 원자료로 대조할 수 없음.
A021-02,확인불가,출처불명확,반도체 수출 증가율(21.8%)도 관세청 잠정치 기반 수치로 KOSIS 미등재 통계여서 확인이 불가능함.
A021-03,확인불가,출처불명확,자동차 수출 증가율(9.2%) 역시 관세청 잠정치 기반으로 KOSIS에 등재되지 않아 대조 불가능함.
A022-01,확인불가,기타,국가데이터처 소매업태별 판매액지수 표에서 업태별 지수만 확인되고 전국 총지수 행이 확인되지 않아 -2.2%와 직접 대조하지 못함.
A022-02,확인불가,기간불일치,경제활동인구조사 건설업 취업자 수의 최신 데이터가 2024.12월까지만 제공되어 기사의 2025.1월 수치와 시차상 직접 대조하지 못함.
A022-03,확인불가,출처불명확,2월 1~20일 수출액(16%) 역시 관세청 잠정치로 KOSIS에 등재되지 않아 확인이 불가능함.
A023-01,일치,,2025년 3월 소비자물가 총지수(116.29)의 전년 동월 대비 상승률(+2.05%)이 기사의 2.1%와 정확히 일치함.
A023-02,일치,,가공식품 물가지수의 전년 동월 대비 상승률(+3.59%)이 기사의 3.6%와 정확히 일치함.
A023-03,일치,,외식 물가지수의 전년 동월 대비 상승률(+2.99%)이 기사의 3%와 정확히 일치함.
A024-01,불일치,수치오류,"KOSIS 2024년 11월 전국 출생아수(20,083명)가 기사 수치(20,095명)와 12명 차이가 나 수치가 일치하지 않음."
A024-02,불일치,수치오류,"2024년 1~11월 월별 출생아수 합산치(220,061명)가 기사 수치(220,094명)와 33명 차이가 나 수치가 일치하지 않음."
A024-03,일치,,"2024년 11월 혼인건수(18,581건)가 기사 수치와 정확히 일치함."
A025-01,불일치,수치오류,"2024년 연간 혼인건수(222,412건)가 기사 수치(222,422건)와 10건 차이가 나 수치가 일치하지 않음."
A025-02,일치,,"2024년 12월 혼인건수(22,519건)가 기사 수치와 정확히 일치함."
A025-03,불일치,수치오류,"2024년 연간 이혼건수(91,151건)가 기사 수치(91,155건)와 4건 차이가 나 수치가 일치하지 않음."
A026-01,확인불가,기간불일치,가계동향조사 분기 자료에서 2025년 1분기 가구당 월평균 소득(535만1000원)이 아직 대조되지 않아 확인이 불가능함.
A026-02,확인불가,기타,소득 1분위 가구의 월평균 소득(114만원)은 별도 분위별 분류표 확인이 필요해 아직 대조되지 않음.
A026-03,확인불가,기간불일치,소득분배지표는 연간 가계금융복지조사 기반이라 기사의 분기 5분위배율(6.32배)과 조사 주기가 달라 직접 대조하지 못함.
A027-01,일치,,2025년 5월 소비자물가 총지수의 전년 동월 대비 상승률(+1.90%)이 기사의 1.9%와 정확히 일치함.
A027-02,일치,,축산물 및 돼지고기·국산쇠고기·달걀 가격 상승률이 모두 기사 수치와 정확히 일치함.
A027-03,일치,,생활물가지수의 전년 동월 대비 상승률(+2.29%→2.3%)이 기사 수치와 정확히 일치함.
A028-01,확인불가,출처불명확,'국민 삶의 질' 보고서의 3개년 평균 삶의만족도(6.06점)는 KOSIS 후보표가 응답비율(%) 형태로만 제공되어 점수 형식과 맞지 않아 매칭이 어려움.
A028-02,확인불가,출처불명확,2023년 삶의만족도(6.4점) 역시 동일한 사유로 KOSIS 내 형식이 맞는 표를 찾지 못해 확인이 불가능함.
A029-01,확인불가,출처불명확,1980~1984년생 코호트별 학력 비율은 자체 분석 추정치로 보이며 KOSIS 표준 정기표에서 동일한 코호트 분류를 찾지 못함.
A029-02,확인불가,출처불명확,1990~1994년생 코호트 수치 역시 동일한 사유로 KOSIS에서 대응하는 표를 찾지 못해 확인이 불가능함.
A030-01,확인불가,출처불명확,기획재정부의 2025년 경제성장률 전망치(1.8%)는 확정 통계가 아닌 예측치로 KOSIS 대상 통계가 아니어서 대조가 불가능함.
A031-01,확인불가,출처불명확,OECD가 자체 집계한 대도시·소도시 집값 비교는 국내 KOSIS 통계와 직접 매칭되지 않아 확인이 불가능함.
A032-01,일치,,2025년 2월 소비자물가지수(116.08)가 기사 원문 수치와 정확히 일치함.
A032-02,일치,,석유류 물가지수의 전년 동월 대비 상승률(+6.27%)이 기사의 6.3%와 정확히 일치함.
A032-03,확인불가,기타,생활물가지수 상승률(2.6%)은 A027-03과 동일한 사유로 별도 탐색이 필요해 검증이 아직 완료되지 않음.
A033-01,확인불가,비교대상오류,"한국무역협회 SITC 무역통계는 월간·품목별 집계로, 산업통상자원부·관세청이 발표한 연간 총수출액(6838억달러)과 집계 기준이 달라 직접 대조하지 못함."
A033-02,확인불가,비교대상오류,무역수지(수입액·흑자규모) 수치도 집계기준 차이로 인해 동일한 사유로 대조하지 못함.
A033-03,확인불가,비교대상오류,2024년 12월 수출액(613.8억달러) 역시 집계기준 차이로 직접 대조하지 못함.
A033-04,확인불가,비교대상오류,반도체 수출 증가율(31.5%)은 SITC 776 코드로 조회는 가능하나 집계기준 차이로 아직 대조되지 않음.
A034-01,불일치,비교대상오류,"온라인쇼핑 전체 거래액의 증가율(+2.61%)은 기사의 2.5%와 근접하나 절대액이 약 2565억원 차이가 나며, 이는 상품·서비스 집계범위 차이에 따른 것으로 추정되어 완전히 일치하지 않음."
A034-02,불일치,수치오류,가방 온라인쇼핑 거래액의 전년 동월 대비 증감률(-12.58%)이 기사 수치(-11.3%)와 1.3%포인트 차이가 나 수치가 일치하지 않음.
A034-03,일치,,이쿠폰서비스 거래액의 전년 동월 대비 감소율(-49.03%)이 기사 수치(-49.1%)와 사실상 일치함.
A035-01,확인불가,기타,보건·사회복지서비스업 종사자 비율(10.1%)은 산업별 취업자 표에서 세부 objL2 코드를 아직 특정하지 못해 대조하지 못함.
A035-02,확인불가,기타,2014년 대비 2024년 보건·복지 종사자 증가폭(120만명) 역시 세부 산업코드 미확인으로 대조하지 못함.
A035-03,확인불가,기타,제조업 종사자 비율(2014년 17%→2024년 15.6%)은 전체 취업자 대비 비율 계산을 위한 분모 확보 및 재계산이 필요해 아직 검증되지 않음.
